##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:14 2016, Fast, 68, 300
Sat Jan  9 16:26:14 2016, Fast, 72, 300
Sat Jan  9 16:26:14 2016, Fast, 68, 300
Sat Jan  9 16:26:14 2016, Fast, 67, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:15 2016, Fast, 75, 300
Sat Jan  9 16:26:16 2016, Fast, 68, 300
Sat Jan  9 16:26:16 2016, Fast, 69, 300
Sat Jan  9 16:26:16 2016, Fast, 67, 300
Sat Jan  9 16:26:16 2016, Fast, 64, 300
Sat Jan  9 16:26:16 2016, Fast, 64, 300
Sat Jan  9 16:26:16 2016, Fast, 68, 300
Sat Jan  9 16:26:16 2016, Fast, 67, 300
Sat Jan  9 16:26:16 2016, Fast, 64, 300
Sat Jan  9 16:26:16 2016, Fast, 66, 300
Sat Jan  9 16:26:16 2016, Fast, 70, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:18 2016, Fast, 77, 300
Sat Jan  9 16:26:18 2016, Fast, 75, 300
Sat Jan  9 16:26:18 2016, Fast, 71, 300
Sat Jan  9 16:26:18 2016, Fast, 73, 300
Sat Jan  9 16:26:18 2016, Fast, 71, 300
Sat Jan  9 16:26:18 2016, Fast, 73, 300
Sat Jan  9 16:26:18 2016, Fast, 73, 300
Sat Jan  9 16:26:18 2016, Fast, 74, 300
Sat Jan  9 16:26:18 2016, Fast, 72, 300
Sat Jan  9 16:26:18 2016, Fast, 76, 300
Sat Jan  9 16:26:18 2016, Fast, 73, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:20 2016, Spec, 1, 400
